year,PCMV,DOMV,cTCMV,dTCMV,CP,MVS_fixed_eta_0,MVS_fixed_eta_0.5,MVS_fixed_eta_1,MVS_fixed_eta_2
12.0,0.6425308371204569,0.7622692465343683,0.7343580851796437,0.128928921556487,0.27313842773437486,0.1194288222857668,0.1950206874255499,0.5158324144601476,0.9744330664720432
13.0,0.5928197513742127,0.7011277996787068,0.6904595743225177,0.12188081253815845,0.27313842773437513,0.1101246968952647,0.1578962710466013,0.4694252963282133,0.9631331317406148
14.0,0.5448810204648911,0.6560336930058005,0.6469338583168606,0.115175896807519,0.2731384277343749,0.1023842305733372,0.1406547929540914,0.4435787054111207,0.9510211749641312
15.0,0.5281750014581945,0.6115244866616416,0.616041564672788,0.10885852046475865,0.2731384277343747,0.1005556750330894,0.1454057420154059,0.428612097111656,0.939860612872679
16.0,0.4931850188193563,0.5585723393305836,0.5660487135163825,0.10287801263313968,0.2731384277343751,0.0952490002412913,0.117943360695613,0.4189689975861611,0.9241150188940896
17.0,0.4559852453290818,0.5095104734499157,0.516430337465115,0.09698101333044203,0.27313842773437497,0.091212372054218,0.1035594641604683,0.4175921250782113,0.905654798981507
18.0,0.42291628947035376,0.4696132345557275,0.4655036037113488,0.09168475729126563,0.2731384277343749,0.0883423465788029,0.1121345920754018,0.4245053001857788,0.883833248120496
19.0,0.39472935169197354,0.4287328912307423,0.41099257352045143,0.08696958413793664,0.27313842773437497,0.0863932221567525,0.0997696063377589,0.425597447843951,0.861331532871493
20.0,0.36799610213128725,0.3905625302730204,0.3845385786367927,0.08280639462691955,0.27313842773437486,0.085160905274917,0.0937181483716397,0.4396388814896467,0.8439018393182691
21.0,0.34645984381718387,0.3585901302821426,0.338160022547855,0.0817483774427096,0.273138427734375,0.0846417465613047,0.0996285572887902,0.4413646893018294,0.8149768438795338
22.0,0.34533732102658693,0.31064975281897034,0.3139681120755913,0.07989739803933381,0.2731384277343752,0.0863206487149273,0.1183980235170281,0.4540436484569533,0.7192045694858965
23.0,0.32883034629156843,0.28457238142094443,0.2740824693841565,0.08285972667729237,0.27313842773437497,0.0907079185779969,0.1487686201287053,0.4610952698395686,0.6563551327361887
24.0,0.3096614994463457,0.25614940182262613,0.24756268586230504,0.09343324234760535,0.27313842773437497,0.1096641049544902,0.2220978449473137,0.4537730410992832,0.6253899645172459
25.0,0.290365089330846,0.23236732814252128,0.23389904639585835,0.1302937899970452,0.273138427734375,0.1390293994149194,0.2849117001512599,0.4509692960668605,0.5849108237526843
26.0,0.27374078050541595,0.20472731217026705,0.21490284196794318,0.19502630777135763,0.2731384277343752,0.2062597843376225,0.3378363097714196,0.4429294278774272,0.5467636175012222
27.0,0.25767467299128594,0.17593699286097306,0.20031973730351546,0.2543684967702529,0.2731384277343751,0.2615610042314214,0.3825928670982216,0.4409341931006212,0.5156730179734127
28.0,0.24299743209024285,0.16332316167894315,0.18411035861116995,0.3250992052825986,0.2731384277343747,0.328304244572498,0.4139453927547564,0.4331482480481931,0.4935143599162921
29.0,0.23036815727088067,0.14052523730797054,0.1665871400749275,0.37206596226265687,0.2731384277343748,0.3841189402687184,0.4213588573010999,0.4281666434518515,0.481018669948872
30.0,0.2186986712145872,0.12146232863558237,0.1535267312854315,0.40920449900815264,0.2731384277343752,0.4082901713664443,0.4308255280846368,0.4231602711276704,0.4667121967730932
31.0,0.21586038712118583,0.10897145331126436,0.14334666457603523,0.42543184224434644,0.273138427734375,0.4162899095182999,0.426602638834714,0.4204257688313353,0.4593919923076478
32.0,0.20995008139857102,0.0992252831101724,0.13097947715492939,0.43074232644913585,0.2731384277343753,0.4248169360625293,0.4258780579057406,0.418771273599629,0.454509249334388
33.0,0.19905742314867736,0.08971885389243175,0.12130799859892727,0.4257734598367331,0.273138427734375,0.4231748257862713,0.4241068907923466,0.4157712438145535,0.4513007033373423
34.0,0.19049364632950705,0.07741799486600749,0.10953365089140615,0.4241493113561785,0.2731384277343749,0.4208976550978902,0.4233252399537692,0.4177614594312521,0.4477785055008968
35.0,0.18577087376936224,0.06633626710190797,0.10395204611988086,0.4258162340361581,0.2731384277343746,0.4209929724724234,0.4235474340358281,0.4218434777689014,0.4470751241075509
36.0,0.17829972837907343,0.05606653228040773,0.09619562172978303,0.42921505973883284,0.2731384277343751,0.4247369794363602,0.4277661027810482,0.4258575257868155,0.449352752798785
37.0,0.17031023010108676,0.0472281716088377,0.09151434992056877,0.43156935757348375,0.2731384277343752,0.431047159919856,0.4308636625777849,0.4324206973013134,0.4546806571587676
38.0,0.16283975087429042,0.039402095722753674,0.08432216142352619,0.43404876765842443,0.27313842773437524,0.4369476514035129,0.4383115295588731,0.4404330554431352,0.4605664672100124
39.0,0.15410053187476613,0.032784029207528355,0.08119275169145157,0.4514690886109092,0.273138427734375,0.4475405374476413,0.4495113030672748,0.4561418861734713,0.4732925453115901
