year,state,state_quantile,starting_x,future_contribution_pv_H,total_pension_wealth_x_plus_H,dtcmv_risk_aversion_gamma,policy,risky_fraction,risky_amount,mean,stdev,skewness,q05,q50,q95,cvar05,ucvar95,downside_spread,upside_spread,tail_asymmetry
30,q10,0.1,29.233721898811464,9.28075970705037,38.51448160586183,0.030984692646580318,dTCMV,0.5714285714285714,16.70498394217798,57.43833143606176,23.347072186445835,1.25943814109471,27.908822109536413,53.39339325316426,101.08273587238082,24.03618375322729,120.37696393047665,25.48457114362785,47.68934261921656,1.8713025363638074
30,q10,0.1,29.233721898811464,9.28075970705037,38.51448160586183,0.030984692646580318,cTCMV,0.5714285714285714,16.70498394217798,52.95965319365597,13.364751640158872,0.22080738735545685,31.95199641049627,51.72818579717866,74.87211810870319,27.112065495983448,82.09327524947649,19.77618938668239,23.14393231152453,1.170292813190233
30,q50,0.5,45.267631401425994,9.28075970705037,54.548391108476366,0.021877077412363166,dTCMV,0.4899436195714529,22.178587178241013,81.37467421348761,32.694460853229096,1.2243410520983982,39.135789990949135,74.87211810870319,142.0299080840599,33.9470668643977,169.27790964507787,35.736328117754056,67.15778997535672,1.8792582649807936
30,q50,0.5,45.267631401425994,9.28075970705037,54.548391108476366,0.021877077412363166,cTCMV,0.42857142857142855,19.400413457753995,72.40684765476439,14.800126496180589,0.1757365896205032,48.45752405607884,72.9796780980473,96.86034058493996,43.46752129698599,104.38551268122582,24.522154041968463,23.88066248689266,0.9738403260178982
30,q90,0.9,67.41219352243881,9.28075970705037,76.69295322948918,0.015560221959755514,dTCMV,0.42857142857142855,28.890940081045205,114.1458352150552,44.592753004402994,1.0603475589669247,56.78277744690894,107.54211820052603,198.8419543375557,48.35950914284237,233.02214485425083,50.759340753617096,91.29983613702967,1.79868049469342
30,q90,0.9,67.41219352243881,9.28075970705037,76.69295322948918,0.015560221959755514,cTCMV,0.2992275930550537,20.171588410280847,98.82007289814212,16.28698241975875,0.13389031728863718,72.9796780980473,98.96309330796707,125.48911151227436,66.63369130324996,133.67017816402094,25.98341520991977,26.52601820430729,1.0208826665010284
35,q10,0.1,36.19688736289694,4.814204058933037,41.011091421829974,0.02909845443334828,dTCMV,0.6428571428571428,23.269427590433743,51.343685583924035,17.079901583981915,1.021293862197917,27.908822109536413,48.45752405607884,82.62185179595865,25.367952658854385,95.6660788617753,20.548701946542426,34.16432773987981,1.6626027195662703
35,q10,0.1,36.19688736289694,4.814204058933037,41.011091421829974,0.02909845443334828,cTCMV,0.5,18.09844368144847,48.29159501231889,9.279693833520822,0.16352298806044874,33.34486740654338,48.45752405607884,63.793291290635686,30.03717662873325,68.1969311691556,15.11265664953546,15.335767234556847,1.0147631611168266
35,q50,0.5,58.50665325379375,4.814204058933037,63.32085731272679,0.018846228962224553,dTCMV,0.6428571428571428,37.61141994886741,79.92651300273292,27.071441876616326,1.0084846162431986,43.70340373471835,74.87211810870319,130.136538531141,38.01358803024197,150.0232116873167,31.16871437398484,55.26442042243782,1.7730734658906189
35,q50,0.5,58.50665325379375,4.814204058933037,63.32085731272679,0.018846228962224553,cTCMV,0.3571428571428571,20.895233304926336,72.82472224031017,10.482365528158779,0.10727587188884724,56.78277744690894,72.9796780980473,90.65433953454442,51.85874679989072,95.06770359028003,16.196900651138364,17.674661436497118,1.0912372568793773
35,q90,0.9,94.7745686360966,4.814204058933037,99.58877269502965,0.011982870585767939,dTCMV,0.6070091525362799,57.52903058978849,125.34188595925306,41.316906468010075,0.9239684890146811,69.24959548354624,118.63753046550686,201.59168690941007,61.10331735009652,232.1543571616561,49.38793498196061,82.95415644390322,1.6796441575093448
35,q90,0.9,94.7745686360966,4.814204058933037,99.58877269502965,0.011982870585767939,cTCMV,0.23961258044848688,22.70917895178734,112.20245151935427,11.74455532267536,0.104723317030372,92.7058701311799,111.93122851425929,132.48394610721002,88.37483789678338,137.35025925078907,19.22535838307938,20.552717592950728,1.069042104881567
39,q10,0.1,40.63729289483591,0.9919221745508994,41.62921506938681,0.028666391451554647,dTCMV,1.0,40.63729289483591,43.935145465264284,7.989149539577922,0.4493562398533969,31.95199641049627,43.70340373471835,58.50665325379375,29.46462987476064,62.39721753175932,11.751407324222079,14.8032495190754,1.2597001457486359
39,q10,0.1,40.63729289483591,0.9919221745508994,41.62921506938681,0.028666391451554647,cTCMV,0.5,20.318646447417954,43.06808643576425,4.062953360495914,0.07035577645915092,36.19688736289694,43.70340373471835,50.08284233536714,35.01778722608279,51.46210078858623,7.506516371821412,6.37943860064879,0.8498534186371203
39,q50,0.5,72.9796780980473,0.9919221745508994,73.9716002725982,0.016132669438031128,dTCMV,0.9285714285714285,67.76684394818678,78.06642475024111,14.049475749276448,0.4992378145380742,56.78277744690894,76.78266799050033,103.21917902725436,53.25574738477241,110.84065876725785,19.99989054359139,26.436511036754027,1.321832785991112
39,q50,0.5,72.9796780980473,0.9919221745508994,73.9716002725982,0.016132669438031128,cTCMV,0.3103032631947568,22.645832260727,76.0081952184635,4.70807576348826,-0.004235226576379652,67.41219352243881,76.78266799050033,84.60372804643204,66.21882348000064,85.77280390481293,9.370474468061516,7.82106005593171,0.8346493107246926
39,q90,0.9,127.80490318244834,0.9919221745508994,128.79682535699925,0.009265440912011959,dTCMV,0.9285714285714285,118.67598152655917,135.91518119253368,24.136195893314273,0.47853558356797565,98.96309330796707,134.8470555747652,177.35900717570934,92.58145195406685,192.0910165768351,35.88396226679812,42.511951600944144,1.184706172770598
39,q90,0.9,127.80490318244834,0.9919221745508994,128.79682535699925,0.009265440912011959,cTCMV,0.21428571428571427,27.3867649676675,131.855420314233,5.779852101323,0.0108786045151976,123.18923611767616,132.48394610721002,142.0299080840599,120.12722747064477,143.60576102237957,9.294709989533857,9.545961976849895,1.0270317188592144
