strategy,month,wealth,global_continuous_action_gap,best_fraction,saved_fraction
dTCMV,120,30.0,2.6417271655532204e-05,0.25870763397196833,0.25
dTCMV,120,50.0,5.911974341188397e-07,0.19160767191189454,0.1875
dTCMV,120,75.0,1.4161739528617545e-05,0.18487458602342158,0.1875
dTCMV,120,100.0,1.5646301875449353e-05,0.15025739381091943,0.140625
dTCMV,120,150.0,1.3127711895322136e-06,0.42428051971403286,0.421875
dTCMV,120,250.0,9.914970746649487e-06,0.3931528171945243,0.390625
dTCMV,120,400.0,0.0,0.0,0.0
dTCMV,120,550.0,0.0,0.0021403514933843273,0.0
dTCMV,240,5.0,7.260161204669657e-06,0.8630486669304901,0.859375
dTCMV,240,15.0,1.4683125257874963e-06,0.4822217912968885,0.484375
dTCMV,240,30.0,9.994191131568186e-06,0.3580513654172047,0.359375
dTCMV,240,50.0,4.8303384815540085e-05,0.2857837287001548,0.28125
dTCMV,240,75.0,2.9664391774986143e-05,0.2736091936887558,0.28125
dTCMV,240,100.0,2.139576986337488e-05,0.2694698715452031,0.265625
dTCMV,240,150.0,0.0004132272316894614,0.19240511905899707,0.1875
dTCMV,240,250.0,1.521201511422987e-06,0.5291053299035506,0.53125
dTCMV,240,400.0,2.726026707478013e-05,0.14289186435007836,0.140625
dTCMV,240,550.0,0.0,0.0,0.0
dTCMV,360,5.0,1.0876507747781261e-05,0.8630486669304901,0.859375
dTCMV,360,15.0,1.1947002526824235e-05,0.6306821417295914,0.625
dTCMV,360,30.0,1.0914584208876477e-05,0.48760201405362635,0.484375
dTCMV,360,50.0,3.807201238714697e-06,0.40110031571014276,0.40625
dTCMV,360,75.0,5.093075714057704e-05,0.40175393744804544,0.40625
dTCMV,360,100.0,4.207063284411561e-06,0.40551920396583313,0.40625
dTCMV,360,150.0,8.016465358196001e-06,0.39121119119823666,0.390625
dTCMV,360,250.0,0.00015799810211092336,0.4882044566964711,0.484375
dTCMV,360,400.0,2.557193283792003e-07,0.46877823275721014,0.46875
dTCMV,360,550.0,0.0,0.0,0.0
dTCMV,420,5.0,8.896606557229347e-06,0.8630486669304901,0.859375
dTCMV,420,15.0,4.725774513048009e-06,0.6974757811884321,0.6875
dTCMV,420,30.0,1.1509197861414577e-07,0.5779684104805524,0.578125
dTCMV,420,50.0,3.73387033647532e-06,0.5568829179809339,0.546875
dTCMV,420,75.0,3.6117262425250374e-07,0.5307897691276117,0.53125
dTCMV,420,100.0,0.00010315356063017589,0.5376979464473419,0.53125
dTCMV,420,150.0,4.540102526107148e-05,0.5357974254813184,0.53125
dTCMV,420,250.0,0.0005974534589086034,0.47736048912523743,0.46875
dTCMV,420,400.0,1.1632522443960625e-05,0.6252446097834576,0.625
dTCMV,420,550.0,0.0003054802822362035,0.02088476172428375,0.015625
dTCMV,468,5.0,8.750645665855927e-07,0.8630486669304901,0.859375
dTCMV,468,15.0,6.159787808712736e-07,0.7457509675653975,0.734375
